PLAYER,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Stephen Curry,12278.0,2893.0
Joel Embiid,6852.5,2941.0
LeBron James,5533.5,1501.5
Kawhi Leonard,2701.5,716.5
Russell Westbrook,2130.5,559.0
Derrick Rose,1864.0,2504.5
Dirk Nowitzki,1564.0,500.5
Kyrie Irving,1541.0,695.0
Kevin Durant,1425.5,366.0
Devin Booker,1170.5,335.5
James Harden,969.0,321.5
Jeremy Lin,936.5,197.5
Pau Gasol,882.5,148.5
Kevin Love,866.5,194.5
Chris Paul,829.0,178.5
Klay Thompson,797.0,225.0
Rudy Gobert,731.0,225.5
Carmelo Anthony,720.5,220.0
Draymond Green,627.0,168.5
Kyle Lowry,561.0,162.0
Buddy Hield,512.0,333.0
Kristaps Porzingis,485.0,214.0
Isaiah Thomas,467.5,155.5
Anthony Davis,368.0,104.0
Tristan Thompson,368.0,211.0
Dwyane Wade,349.5,149.5
Paul Pierce,346.5,142.0
Gordon Hayward,319.0,50.5
Sergio Rodriguez,303.0,60.0
Andre Iguodala,300.5,43.0
Manu Ginobili,299.0,66.0
Mario Hezonja,272.0,207.0
Blake Griffin,269.0,98.5
Jabari Parker,267.0,125.0
Ricky Rubio,262.5,76.0
Mike Conley,257.5,90.0
Paul George,228.5,128.0
Patrick Beverley,214.5,51.0
LaMarcus Aldridge,195.0,63.0
Brandon Ingram,194.0,100.0
Hassan Whiteside,194.0,155.0
DeAndre Jordan,189.5,27.0
Damian Lillard,186.5,43.0
Rajon Rondo,185.5,74.0
Andrew Wiggins,182.0,54.5
Zach LaVine,178.5,67.0
Matthew Dellavedova,175.0,30.0
Kris Dunn,165.0,47.0
Shabazz Napier,159.0,72.0
Meyers Leonard,149.0,31.0
Enes Kanter,147.0,195.0
Zaza Pachulia,141.5,34.0
Sam Dekker,139.0,13.0
Boris Diaw,136.5,13.0
Al Horford,136.0,71.0
C.J. McCollum,126.0,33.0
Clint Capela,120.0,45.5
Nikola Mirotic,119.0,50.5
Nicolas Batum,114.5,66.0
Frank Kaminsky,112.5,29.0
Patty Mills,112.0,19.0
Kyle Korver,107.5,30.5
Nerlens Noel,105.0,64.0
Julius Randle,102.0,59.0
DeMarcus Cousins,102.0,91.5
Cody Zeller,90.0,29.0
Jimmy Butler,89.5,30.0
Harrison Barnes,88.5,28.5
Justise Winslow,88.5,33.5
Joe Ingles,86.5,4.0
Marreese Speights,80.0,12.0
Glenn Robinson,79.0,26.0
Victor Oladipo,78.0,28.0
Ty Lawson,75.5,27.0
